x		y
0.500000		1.000000
0.510000		1.490835
0.520000		1.757366
0.530000		1.992523
0.540000		2.213910
0.550000		2.428166
0.560000		2.638612
0.570000		2.847173
0.580000		3.055074
0.590000		3.263146
0.600000		3.471978
0.610000		3.682007
0.620000		3.893564
0.630000		4.106905
0.640000		4.322236
0.650000		4.539719
0.660000		4.759490
0.670000		4.981660
0.680000		5.206322
0.690000		5.433554
0.700000		5.663424
0.710000		5.895988
0.720000		6.131298
0.730000		6.369394
0.740000		6.610316
0.750000		6.854096
0.760000		7.100764
0.770000		7.350346
0.780000		7.602864
0.790000		7.858340
0.800000		8.116792
0.810000		8.378236
0.820000		8.642687
0.830000		8.910160
0.840000		9.180667
0.850000		9.454218
0.860000		9.730824
0.870000		10.010495
0.880000		10.293239
0.890000		10.579063
0.900000		10.867975
0.910000		11.159983
0.920000		11.455091
0.930000		11.753305
0.940000		12.054632
0.950000		12.359075
0.960000		12.666639
0.970000		12.977328
0.980000		13.291147
0.990000		13.608100
1.000000		13.928188
1.010000		14.251416
1.020000		14.577786
1.029999		14.907302
1.039999		15.239966
1.049999		15.575780
1.059999		15.914747
1.069999		16.256868
1.079999		16.602148
1.089999		16.950584
1.099999		17.302183
1.109999		17.656944
1.119999		18.014870
1.129999		18.375959
1.139999		18.740217
1.149999		19.107641
1.159999		19.478237
1.169999		19.852003
1.179999		20.228941
1.189999		20.609053
1.199999		20.992338
1.209999		21.378798
1.219999		21.768435
1.229999		22.161249
1.239999		22.557240
1.249999		22.956411
1.259999		23.358761
1.269999		23.764290
1.279999		24.173000
1.289999		24.584894
1.299999		24.999968
1.309999		25.418226
1.319999		25.839666
1.329999		26.264292
1.339999		26.692101
1.349999		27.123096
1.359999		27.557276
1.369999		27.994642
1.379999		28.435196
1.389999		28.878935
1.399999		29.325863
1.409999		29.775976
1.419999		30.229280
1.429999		30.685772
1.439999		31.145451
1.449999		31.608320
1.459999		32.074379
1.469999		32.543629
1.479999		33.016068
1.489999		33.491695
1.499999		33.970516
1.509999		34.452530
1.519999		34.937729
1.529999		35.426125
1.539999		35.917709
1.549999		36.412487
1.559999		36.910458
1.569999		37.411617
1.579999		37.915974
1.589999		38.423523
1.599999		38.934261
1.609999		39.448196
1.619999		39.965324
1.629999		40.485645
1.639999		41.009159
1.649999		41.535866
1.659999		42.065769
1.669999		42.598866
1.679999		43.135155
1.689999		43.674641
1.699999		44.217323
1.709999		44.763199
1.719999		45.312267
1.729999		45.864532
1.739999		46.419991
1.749999		46.978645
1.759999		47.540497
1.769999		48.105545
1.779999		48.673786
1.789999		49.245224
1.799999		49.819855
1.809999		50.397686
1.819999		50.978710
1.829999		51.562931
1.839999		52.150349
1.849999		52.740963
1.859999		53.334774
1.869999		53.931782
1.879999		54.531982
1.889999		55.135384
1.899999		55.741978
1.909999		56.351772
1.919999		56.964764
1.929999		57.580948
1.939999		58.200333
1.949999		58.822914
1.959999		59.448692
1.969999		60.077667
1.979999		60.709839
1.989999		61.345207
1.999999		61.983776
2.009999		62.625538
2.019999		63.270500
2.029999		63.918659
2.039999		64.570015
2.049999		65.224571
2.059999		65.882324
2.069999		66.543274
2.079998		67.207420
2.089998		67.874763
2.099998		68.545311
2.109998		69.219048
2.119998		69.895988
2.129998		70.576126
2.139998		71.259460
2.149998		71.945992
2.159998		72.635727
2.169998		73.328651
2.179998		74.024780
2.189998		74.724106
2.199998		75.426628
2.209998		76.132347
2.219998		76.841270
2.229998		77.553391
2.239998		78.268707
2.249998		78.987221
2.259998		79.708931
2.269998		80.433846
2.279998		81.161957
2.289998		81.893265
2.299998		82.627769
2.309998		83.365479
2.319998		84.106384
2.329998		84.850487
2.339998		85.597786
2.349998		86.348289
2.359998		87.101982
2.369998		87.858879
2.379998		88.618980
2.389998		89.382271
2.399998		90.148766
2.409998		90.918457
2.419998		91.691353
2.429998		92.467445
2.439998		93.246735
2.449998		94.029221
2.459998		94.814903
2.469998		95.603790
2.479998		96.395874
2.489998		97.191162
2.499998		97.989639
2.509998		98.791321
2.519998		99.596207
2.529998		100.404282
2.539998		101.215561
2.549998		102.030037
2.559998		102.847717
2.569998		103.668594
2.579998		104.492668
2.589998		105.319939
2.599998		106.150414
2.609998		106.984085
2.619998		107.820953
2.629998		108.661026
2.639998		109.504295
2.649998		110.350761
2.659998		111.200432
2.669998		112.053299
2.679998		112.909363
2.689998		113.768631
2.699998		114.631096
2.709998		115.496758
2.719998		116.365623
2.729998		117.237686
2.739998		118.112946
2.749998		118.991409
2.759998		119.873070
2.769998		120.757927
2.779998		121.645988
2.789998		122.537247
2.799998		123.431702
2.809998		124.329361
2.819998		125.230217
2.829998		126.134270
2.839998		127.041527
2.849998		127.951981
2.859998		128.865631
2.869998		129.782486
2.879998		130.702545
2.889998		131.625793
2.899998		132.552246
2.909998		133.481888
2.919998		134.414749
2.929998		135.350800
2.939998		136.290039
2.949998		137.232498
2.959998		138.178146
2.969998		139.126984
2.979998		140.079041
2.989998		141.034286
2.999998		141.992722
3.009998		142.954376
3.019998		143.919220
3.029998		144.887268
3.039998		145.858505
3.049998		146.832947
3.059998		147.810593
3.069998		148.791443
3.079998		149.775482
3.089998		150.762726
3.099998		151.753159
3.109998		152.746811
3.119998		153.743652
3.129997		154.743683
3.139997		155.746933
3.149997		156.753372
3.159997		157.763000
3.169997		158.775848
3.179997		159.791885
3.189997		160.811127
3.199997		161.833557
3.209997		162.859192
3.219997		163.888031
3.229997		164.920074
3.239997		165.955307
3.249997		166.993744
3.259997		168.035370
3.269997		169.080215
3.279997		170.128250
3.289997		171.179474
3.299997		172.233917
3.309997		173.291550
3.319997		174.352371
3.329997		175.416412
3.339997		176.483643
3.349997		177.554077
3.359997		178.627716
3.369997		179.704544
3.379997		180.784576
3.389997		181.867798
3.399997		182.954239
3.409997		184.043869
3.419997		185.136688
3.429997		186.232727
3.439997		187.331955
3.449997		188.434387
3.459997		189.540009
3.469997		190.648834
3.479997		191.760864
3.489997		192.876099
3.499997		193.994522
3.509997		195.116150
3.519997		196.240982
3.529997		197.369003
3.539997		198.500229
3.549997		199.634659
3.559997		200.772293
3.569997		201.913116
3.579997		203.057144
3.589997		204.204361
3.599997		205.354797
3.609997		206.508408
3.619997		207.665237
3.629997		208.825272
3.639997		209.988495
3.649997		211.154907
3.659997		212.324539
3.669997		213.497360
3.679997		214.673386
3.689997		215.852615
3.699997		217.035034
3.709997		218.220657
3.719997		219.409470
3.729997		220.601501
3.739997		221.796722
3.749997		222.995148
3.759997		224.196762
3.769997		225.401581
3.779997		226.609604
3.789997		227.820831
3.799997		229.035248
3.809997		230.252869
3.819997		231.473694
3.829997		232.697708
3.839997		233.924927
3.849997		235.155350
3.859997		236.388977
3.869997		237.625793
3.879997		238.865814
3.889997		240.109039
3.899997		241.355453
3.909997		242.605072
3.919997		243.857895
3.929997		245.113907
3.939997		246.373123
3.949997		247.635544
3.959997		248.901169
3.969997		250.169983
3.979997		251.442001
3.989997		252.717224
3.999997		253.995636
